text,predicted_seniority
"Bookkeeper at Keeping The Books, Bookkeeping; Co-Owner at Playful Paws",Professional
Strategy & Investments at Erste Bank und Sparkasse,Professional
Corporate Auditor at Guido Meyer,Professional
Consultant at Advicing,Professional
Marketing Manager at Tradeware AG,Professional
"Professor at Monash University; Deputy Dean, Faculty of IT at Monash University; Research Director at Oceania Cyber Security Centre #OCSC",Director
Program Purchasing Leader / Program / Acquisition Buyer at Faurecia Innenraum Systeme GmbH,Lead
Juiz de Direito at Poder judiciário de Santa Catarina,Professional
Business Analyst at ALSO Deutschland GmbH,Professional
Geschäftsführer at DU MUSST KÄMPFEN gGmbH,Management
Managementberater IT- und Governance at Brandtner IT,Professional
Founder & CEO at DGC FILM WORKS; Senior Video Editor at DGC FILM WORKS,Management
Geschäftsführer at auris Steuerberatung OG,Management
Senior Publicist at 20th Century Fox,Senior
Manager at Daimler AG,Management
Verkäufer at papperts GmbH,Professional
Koordinerende sagsbehandler at Gladsaxe Kommune,Lead
Head of Supply Chain at Aglukon Spezialdünger GmbH & Co. KG,Lead
Director of Finance (China) at delta pronatura GmbH,Director
Inhaber at Bettina Kern,Management
Geschäftsführer CFO at Policen Direkt-Gruppe; Vorstand at cash.life AG; Investor at Thinksurance; Investor at Covomo Versicherungsvergleich GmbH,Management
Mitglied der Geschäftsleitung at r2b energy consulting GmbH,Lead
"Global Marketing Director, Nonwovens at Owens Corning",Director
"Social Researcher at Gesellschaft für Wirtschaft, Arbeit und Kultur",Professional
CFO at M+R Spedag Group,Management
Berater at Personalberatung JG,Professional
Center Management at ASTERION Germany GmbH,Management
Senior Project Manager at Selbstständig,Professional
Federal Account Manager at FCN Inc.,Professional
Responsable logistique at EGELHOF SAS,Lead
Unternehmensinhaber at Musicdreams,Management
Brand Strategist at Studio Mondu; Self Employed at Freelance Graphic Designer,Professional
Senior Category Manager at Novo Nordisk,Senior
General Manager at Selbstständig,Management
Hiring Manager at NA,Management
Owner and Executive Director at Luxury Custom Yachts GmbH,Management
Founder & Managing Director at eye4improve,Management
Orthodontie assistent at Orthocenter; Leerling orthodontie assistent at Orthocenter,Junior
Manager Risk Advisory at Deloitte,Management
Systemadministrator Clientservices at IT-Services der Sozialversicherung GmbH,Professional
IT Program Manager – Information Security at Montgomery County; Technology Manager at Dayton Leadership Academies,Management
Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen at Sventronik.com,Professional
Human Resources Director at Merck,Director
CEO at eightbit experts GmbH; CEO and Shareholder at Prüser & Müller GmbH,Management
Head of Payment IT Solutions at Lufthansa Group,Lead
Banking Prudential Supervision Analyst at Banco de Portugal,Professional
Geschäftsführer at Steinbeis Papier GmbH,Management
"CEO at eyebase DAM; Product Manager at Eyebase USA, Inc.; Investor at Phoenix HIIT Fitness KG; Shareholder at Phoenixlifestyle KG",Management
SVP People & Culture Management and Services; CEO METRO Campus Services GmbH at METRO AG,Management
Managing Director at Daniel Software GmbH,Management
Building Consultant at Building Inspectors SA Pty Ltd,Management
Managing Director at HOCHTIEF ViCon,Management
Kaufmännischer Leiter at AURA GmbH & Co. KG,Lead
"Senior Director at SEC Co., Ltd",Director
Commercial Director On Trade at gdp Global Drinks Partnership GmbH,Director
CEO at SF Veranstaltungstechnik; Professional Freelancer at SF Veranstaltungstechnik,Management
Senior Manager at Detecon International,Senior
Graduate Engineer at John Holland,Junior
Senior Architect at Saakar Creations Pvt Ltd,Senior
Dozent DHBW Stuttgart at DHBW Stuttgart; Kfm. Leiter/Prokurist at Hofmeister,Management
Mitbegründer und Geschäftsführer at ROiOS; Systemischer Coach und Organisationsberater at Self-employed,Management
Medical Service Corps Officer at Bundeswehr (German Federal Armed Forces),Professional
Data Researcher at Veeva Systems,Professional
MD PhD MBA MMSc at Harvard,Professional
Co-Fundador & Lead Developer at Trackeen,Lead
Sales Manager at Rail Construction Equipment Co.,Management
"Director, Digital Services Business at Kalmar",Director
Unternehmensinhaber at Der-Astrid-Hartmann-Prozess,Management
Docent lichamelijke opvoeding at Calandlyceum Amsterdam; Dans trainer / coach at Dansschool Ponne,Professional
Marketing Engineer at ams OSRAM,Professional
Technischer Leiter at Brandt Schokoladen GmbH + Co. KG,Lead
Senior Advisor to the CS Pension Fund in Switzerland at Credit Suisse; Board Member of the Supervisory Board of RFPSS at European Patent Office,Lead
Gruppenleiter HR KPI & Reporting at DR. JOHANNES HEIDENHAIN GmbH,Lead
CEO at thyssenkrupp Materials Schweiz AG,Management
Responsable développement projets at L'éléfàn,Lead
Transformation Partner at TDC NET,Professional
"Executive Partner, Senior Software Engineer at Mirai Solutions GmbH",Senior
Secretary General/CEO Welthungerhilfe at Welthungerhilfe,Management
Fachreferent MatWerk - Materials Engineering Specialist at German Society for Materials Science - Deutsche Gesellschaft für Materialkunde e.V. (DGM),Professional
CEO at Immoheld; Gesellschafter at FREEMATCH,Management
Statistiker at Deutsche Bundesbank,Professional
Chief Operating Officer at Bee4GIS,Management
Geschäftsführender Gesellschafter at mmb Institut - Gesellschaft für Medien- und Kompetenzforschung mbH; Adjunct Researcher at Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),Management
Self-Employed at TSAR-Tech,Professional
Managing Partner at Sade Ofset Printing&Packaging; Founding Partner at SPM Label BV,Management
Partner at edge Performance Limited,Management
Właściciel at Zinzino,Management
"Director, Marketing Communications at Verint Systems",Director
Chief Information Officer at 360 Media Direct,Management
Visiting Lecturer at HHL Leipzig Graduate School of Management,Professional
Präsidentin Technische Universität Berlin at Technische Universität Berlin; Professorin für Medizinische Biometrie at Charité,Management
Sr. Customer Support spec. at Billtrust; Customer Support Engineer at Order2Cash,Senior
Personalreferent at Misereor,Professional
Pflegefachkraft at St. Josef Hospital Dortmund,Professional
freischaffender Künstler at Selbständig,Professional
Subcommittee Member at New York State Developmental Disabilities Advisory Employment and Meaningful Activities Subcommittee; Committee Member at New York State Developmental Disabilities Advisory Committee; Instagram Manager for fitness inclusion network at fitness inclusion network,Professional
Deputy Chief at Superstition Fire & Medical District; Battalion Chief at Superstition Fire & Medical District,Management
Product Manager at TRATON GROUP,Professional
OM/Customer Success Manager at Papirfly; Styrelseledamot at Kalmar Företagsgrupp KFG,Professional
Geschäftsführer at MAFRA Maile GmbH,Management
Senior Director Product Management at Dynatrace,Director
Matelot at Canal marée,Professional
Gebietsleiter LBS NordWest at LBS Landesbausparkasse NordWest; Gebietsleiter at LBS Landesbausparkasse NordWest,Lead
"Country Lead, Country Clinical Operations at Roche",Lead
Director at Vic Water; Chairman at GWM Water; Executive Director at Belyana P/S; Executive Director at Vogel P/L,Management
Sales Manager at Photron Deutschland GmbH,Management
Undergraduate Research Assistant at Baylor University Point-of-Need Innovations Center,Junior
Technical Specialist at Financial Conduct Authority,Professional
Team Lead Global Supply Management at Tesla,Lead
Bauleitender Elektroinstallateur at Bouygues Energies & Services,Lead
Leiter Projektmanagement / Projektleiter at Kanton Luzern; Dozent Hochschule Luzern at HSLU Hochschule Luzern,Lead
Unternehmensinhaber at One Point,Management
HR Business Partner at Neopac; Lehrgangsleiter HR-Assistent*in & Referent SB Personalwesen at BFB Bildung Formation Biel-Bienne,Lead
Corporate recruiter at Hecht,Professional
Unternehmensinhaber at 3F Kommunikation,Management
Sr. Drafting & Design Technologist . at Cenovus Energy; Avionics Sensor Systems and Electronic Warfare Systems at 148th FW,Senior
Owner at Xaretos,Management
Global Category Manager - Technology & Payment Solutions at bp,Professional
Program Manager at SHELL INFORMATION TECHNOLOGY INTERNATIONAL BV,Professional
Chief Growth Officer at Paradise Tomato Kitchens - Signature Sauce. Signature Service,Management
Senior Software Developer at JetBrains,Senior
Geschäftsführer / CEO&COO at PLAZAMEDIA GmbH,Management
Customer Executive & Member of Management Northern Europe at DNV,Management
Senior Software Engineer at LIZ Smart Office GmbH at LIZ Smart Office GmbH,Senior
Recruitment Consultant at Progressive Recruitment,Professional
CEO at Merz Reisen GmbH,Management
Corporate Communications & Marketing Services Senior Manager at Canon Austria GmbH,Senior
International Clinical Project Manager at Scope International AG,Professional
Leiter Inhouse Logistik at Volkswagen AG,Lead
Technology Lead Germany - Global Partner Solutions at Microsoft,Lead
Director of Sales and Marketing at Bustec,Director
Customer Success Manager at KnowBe4,Professional
Trade Marketing Manager at Luxottica Group,Professional
Head Currency Solutions at UBS; Currency Overlay Manager at Credit Suisse Asset Management; Board Member at Swiss Bond Commission,Lead
SVP Sales & Accounts at Artemis ITS,Management
Managing Director at Copenhagen Color,Management
Construction site leader at Koop Bronbemaling B.V.,Lead
"Data Manager at Center for Earth System Research and Sustainability, University of Hamburg",Professional
Vice President - Supplier Enablement CoE at American Express; Vice President - US Commercial Pricing at American Express,Management
Heimleiterin at Stiftung Liebenau,Lead
Chief Executive Officer at Level 20; Board Member at UK Business Angels Association,Management
Inhaber und Geschäftsführer at A4 Agentur AG,Management
Senior Manager at MHP – A Porsche Company,Management
Director of Education at Independence Seaport Museum,Director
Gerente Comercial at Baeza Jakob Hermanos Ltda,Management
Designer at Global Arts; Art Dealer at Global Arts; Artificial Intelligence Pioneer at Global Arts +ai,Professional
"Gerente de RR.HH Mexico at Apex Tool Group, LLC",Management
Business Development & Key Account Manager at RB&W Manufacturing,Professional
Lehrerin at Land SH,Professional
CEO at CGI MAGIC MOVIE CORPORATION,Management
Quality Coordinator at Digital Realty,Lead
Betriebsratsvorsitzender at ALDRA,Lead
